"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT""20230419 10:01:23,1989.73,1990.27,1990.49,29217.8,29209.6,29233.1,95.15,95.14"
"20230419 10:11:32,1987.68,1988.17,1988.01,29160.6,29155.7,29174.8,95.43,95.41"
"20230419 10:11:43,1988.35,1988.2,1988.24,29161.7,29154.0,29173.9,95.51,95.44"
"20230419 10:11:54,1987.38,1987.97,1987.82,29155.2,29149.8,29168.1,95.46,95.44"
"20230419 10:12:06,1988.19,1988.36,1988.42,29169.3,29174.6,29183.3,95.52,95.52"
"20230419 10:12:17,1989.29,1989.1,1989.22,29183.6,29179.4,29192.4,95.64,95.6"
"20230419 10:12:28,1989.72,1990.2,1989.83,29205.9,29201.8,29216.9,95.69,95.67"
"20230419 10:12:39,1989.63,1989.46,1989.83,29194.6,29189.2,29202.4,95.66,95.64"
"20230419 10:12:50,1990.42,1990.34,1990.63,29217.4,29209.9,29224.3,95.71,95.66"
"20230419 10:13:02,1990.68,1990.68,1990.92,29216.7,29208.4,29223.4,95.7,95.66"
"20230419 10:13:13,1990.69,1991.1,1990.86,29226.9,29220.0,29233.8,95.79,95.73"
"20230419 10:13:24,1989.84,1990.06,1990.08,29212.9,29200.0,29217.3,95.72,95.67"
"20230419 10:13:36,1990.44,1990.47,1990.68,29217.9,29212.5,29230.8,95.74,95.66"
"20230419 10:13:47,1989.92,1990.13,1990.08,29218.1,29211.2,29227.9,95.75,95.67"
"20230419 10:13:58,1990.15,1990.0,1990.19,29218.1,29210.0,29230.8,95.72,95.64"
"20230419 10:14:10,1990.42,1990.23,1990.19,29218.1,29205.9,29233.8,95.74,95.67"
"20230419 10:14:21,1991.31,1990.99,1990.19,29219.7,29213.5,29233.8,95.72,95.66"
"20230419 10:14:32,1991.28,1990.9,1991.19,29221.2,29211.2,29233.8,95.7,95.64"
"20230419 10:14:43,1990.81,1990.57,1990.29,29218.1,29213.1,29233.9,95.71,95.66"
"20230419 10:14:54,1990.6,1990.51,1990.31,29230.3,29210.5,29242.9,95.73,95.67"
"20230419 10:15:06,1990.7,1990.58,1990.33,29230.0,29217.0,29233.9,95.68,95.62"
"20230419 10:15:18,1989.7,1989.3,1989.21,29210.6,29200.0,29223.3,95.62,95.57"
"20230419 10:15:29,1988.5,1988.6,1988.8,29200.6,29187.1,29214.3,95.61,95.54"
"20230419 10:15:40,1987.34,1987.5,1987.36,29188.9,29178.9,29206.4,95.56,95.49"
"20230419 10:15:52,1987.21,1987.22,1986.78,29184.2,29170.8,29196.8,95.54,95.48"
"20230419 10:16:03,1987.91,1987.54,1987.42,29188.9,29174.5,29198.4,95.59,95.55"
"20230419 10:16:14,1987.36,1987.62,1987.31,29186.6,29177.1,29202.2,95.63,95.58"
"20230419 10:16:25,1987.36,1987.11,1986.96,29194.8,29186.8,29204.2,95.66,95.6"
"20230419 10:16:37,1987.05,1987.03,1986.92,29194.8,29186.0,29205.3,95.66,95.6"
"20230419 10:16:48,1987.05,1987.09,1987.17,29194.8,29190.6,29211.2,95.69,95.59"
"20230419 10:16:59,1986.16,1986.09,1986.0,29194.8,29187.0,29205.3,95.57,95.5"
"20230419 10:17:10,1985.28,1985.26,1984.68,29194.8,29199.9,29223.2,95.6,95.54"
"20230419 10:17:22,1986.34,1985.77,1985.56,29226.6,29218.9,29238.1,95.6,95.53"
"20230419 10:17:33,1983.54,1983.01,1983.39,29203.5,29194.4,29217.3,95.45,95.4"
"20230419 10:17:44,1978.53,1977.91,1978.99,29162.3,29163.7,29188.2,95.5,95.43"
"20230419 10:17:56,1978.68,1977.46,1978.4,29180.4,29171.7,29199.1,95.45,95.39"
"20230419 10:18:07,1978.56,1977.99,1978.79,29177.6,29172.5,29197.2,95.44,95.39"
"20230419 10:18:18,1981.19,1979.85,1981.26,29186.5,29182.6,29206.3,95.43,95.37"
"20230419 10:18:29,1981.21,1980.4,1981.18,29190.0,29183.9,29206.3,95.4,95.33"
"20230419 10:18:41,1982.35,1981.65,1982.34,29190.4,29184.7,29210.7,95.43,95.34"
