"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT"
"20230223 13:42:15,1658.04,1658.07,1658.25,24078.4,24068.9,24075.0,95.35,95.29"
"20230223 13:43:15,1657.16,1657.24,1657.35,24079.1,24076.0,24080.0,95.41,95.31"
"20230223 13:44:15,1659.63,1659.76,1659.76,24102.2,24096.9,24101.2,95.57,95.5"
"20230223 13:45:15,1659.32,1659.41,1659.43,24094.8,24092.3,24094.3,95.56,95.48"
"20230223 13:46:15,1658.82,1658.93,1658.92,24098.9,24090.4,24097.0,95.53,95.46"
"20230223 13:47:16,1656.82,1657.0,1656.98,24065.2,24058.6,24072.0,95.5,95.42"
"20230223 13:48:16,1655.79,1655.79,1655.98,24043.7,24038.0,24044.0,95.44,95.38"
"20230223 13:49:16,1656.53,1656.38,1656.63,24044.5,24039.9,24045.8,95.41,95.31"
"20230223 13:50:16,1655.29,1655.39,1655.63,24035.6,24032.2,24038.9,95.33,95.25"
"20230223 13:51:16,1653.66,1653.8,1654.2,23996.7,23990.5,23996.5,95.13,95.07"
"20230223 13:52:17,1650.48,1650.43,1650.9,23930.7,23917.5,23930.4,94.9,94.85"
"20230223 13:53:17,1648.08,1648.0,1648.18,23908.9,23905.7,23904.6,94.77,94.7"
"20230223 13:54:17,1644.52,1644.52,1644.87,23849.0,23843.4,23848.6,94.57,94.51"
"20230223 13:55:17,1650.48,1650.52,1650.54,23935.0,23935.6,23932.5,94.9,94.85"
"20230223 13:56:17,1653.52,1653.62,1653.55,23996.4,23991.9,23989.9,94.91,94.87"
"20230223 13:57:18,1657.99,1658.14,1657.68,24056.7,24061.0,24054.6,95.18,95.16"
"20230223 13:58:18,1654.36,1654.52,1654.32,24008.4,24005.3,24015.9,95.04,95.01"
"20230223 13:59:18,1656.28,1656.27,1656.26,24041.1,24037.4,24043.5,95.16,95.14"
"20230223 14:00:18,1656.92,1656.62,1656.86,24023.5,24018.3,24023.8,95.15,95.12"
"20230223 14:01:18,1658.01,1657.97,1657.84,24058.8,24052.2,24055.7,95.22,95.2"
"20230223 14:02:18,1653.32,1653.38,1653.53,23975.8,23966.5,23980.0,95.06,95.02"
"20230223 14:03:18,1657.36,1657.32,1657.23,24050.4,24046.4,24045.3,95.25,95.22"
"20230223 14:04:17,1655.68,1655.43,1655.81,24012.5,24009.6,24013.9,95.12,95.1"
"20230223 14:05:17,1656.92,1656.91,1657.03,24035.8,24032.8,24037.0,95.25,95.19"
"20230223 14:06:17,1657.34,1657.29,1657.19,24038.6,24033.8,24038.8,95.3,95.22"
"20230223 14:07:17,1657.85,1657.72,1657.82,24042.7,24038.9,24045.5,95.33,95.27"
"20230223 14:08:18,1655.86,1655.7,1656.02,24019.3,24016.5,24023.9,95.25,95.18"
"20230223 14:09:18,1657.86,1657.82,1657.77,24049.3,24047.4,24052.1,95.29,95.25"
"20230223 14:10:19,1660.61,1660.81,1660.99,24109.0,24111.2,24099.8,95.37,95.32"
"20230223 14:11:19,1665.15,1665.17,1664.94,24157.9,24155.9,24153.2,95.41,95.36"
"20230223 14:12:20,1663.63,1663.53,1663.54,24118.7,24115.0,24118.5,95.36,95.3"
"20230223 14:13:20,1663.91,1663.82,1663.71,24112.3,24113.0,24115.1,95.38,95.34"
"20230223 14:14:21,1665.08,1665.02,1665.07,24136.6,24135.2,24136.7,95.42,95.34"
"20230223 14:15:21,1664.18,1664.15,1664.35,24093.2,24094.5,24095.6,95.4,95.35"
"20230223 14:16:22,1665.54,1665.49,1665.57,24112.6,24116.7,24114.3,95.44,95.41"
"20230223 14:17:23,1668.13,1668.05,1667.97,24123.6,24123.0,24120.1,95.51,95.47"
"20230223 14:18:24,1668.21,1667.86,1668.16,24133.5,24133.0,24130.8,95.53,95.49"
"20230223 14:19:24,1668.53,1668.12,1668.52,24136.0,24129.9,24133.8,95.55,95.51"
"20230223 14:20:25,1668.3,1668.0,1668.34,24131.0,24125.2,24128.7,95.55,95.5"
"20230223 14:21:26,1669.51,1669.24,1669.43,24138.0,24136.3,24137.5,95.53,95.5"
"20230223 17:52:47,1647.72,1647.32,1648.29,23861.8,23855.0,23869.3,94.56,94.53"
"20230223 17:53:48,1637.96,1637.86,1637.79,23769.7,23763.5,23774.9,94.22,94.24"
"20230223 17:54:48,1642.16,1642.42,1642.5,23806.1,23798.5,23806.4,94.26,94.23"
"20230223 17:55:48,1644.95,1645.09,1644.8,23837.4,23833.7,23836.5,94.3,94.28"
"20230223 17:56:48,1647.22,1647.27,1647.17,23874.7,23860.1,23865.1,94.32,94.32"
"20230223 17:57:48,1648.88,1649.5,1648.96,23878.5,23874.8,23878.8,94.37,94.36"
"20230223 17:58:48,1647.41,1647.78,1647.48,23857.8,23849.9,23857.1,94.32,94.3"
"20230223 17:59:48,1646.6,1646.77,1646.49,23843.5,23836.1,23844.1,94.17,94.19"
"20230223 18:00:48,1646.01,1646.18,1646.18,23853.2,23846.4,23852.4,94.15,94.16"
"20230223 18:01:48,1646.79,1646.96,1646.77,23854.5,23840.3,23850.7,94.22,94.2"
"20230223 18:02:48,1643.54,1643.79,1643.79,23812.2,23804.1,23815.0,94.14,94.12"
"20230223 18:03:48,1642.99,1642.64,1642.85,23803.7,23793.9,23801.8,94.15,94.15"
"20230223 18:04:48,1640.89,1641.17,1641.06,23792.4,23788.8,23791.6,94.12,94.11"
"20230223 18:05:48,1639.49,1639.41,1639.52,23770.5,23765.3,23773.0,94.01,93.98"
"20230223 18:06:48,1640.57,1640.69,1640.56,23776.6,23770.2,23775.1,94.0,93.98"
"20230223 18:07:48,1642.3,1642.38,1642.42,23803.4,23799.3,23804.1,94.03,94.01"
"20230223 18:08:48,1641.0,1641.31,1641.19,23780.3,23778.0,23777.8,94.05,94.0"
"20230223 18:09:48,1641.21,1641.47,1641.53,23785.3,23783.8,23787.0,94.07,94.03"
"20230223 18:10:48,1640.09,1640.28,1640.22,23769.3,23761.4,23771.8,93.95,93.92"
"20230223 18:11:48,1642.1,1642.22,1642.2,23804.3,23799.9,23805.5,94.09,94.06"
"20230223 18:12:48,1642.84,1643.07,1642.91,23809.9,23804.5,23809.7,94.03,94.0"
"20230223 18:13:48,1641.3,1641.47,1641.55,23790.2,23788.0,23793.1,93.98,93.94"
"20230223 18:14:49,1641.68,1642.07,1641.69,23803.4,23794.3,23801.4,94.02,93.98"
"20230223 18:15:49,1641.57,1641.76,1641.63,23804.3,23799.7,23806.0,93.98,93.94"
"20230223 18:16:49,1639.51,1639.99,1639.79,23786.6,23778.6,23789.0,93.88,93.83"
"20230223 18:17:50,1641.64,1641.95,1641.76,23800.2,23796.3,23800.4,93.98,93.96"
"20230223 18:18:50,1645.07,1645.44,1645.19,23834.9,23832.7,23836.4,94.1,94.08"
"20230223 18:19:50,1644.82,1645.0,1644.67,23827.9,23823.8,23831.6,94.13,94.08"
"20230223 18:20:50,1644.3,1644.66,1644.46,23842.8,23840.6,23843.7,94.14,94.09"
"20230223 18:21:51,1644.97,1645.27,1645.13,23850.3,23845.0,23846.4,94.23,94.2"
"20230223 18:22:51,1643.93,1644.43,1644.33,23843.4,23838.0,23843.5,94.26,94.22"
"20230223 18:23:51,1643.98,1644.2,1644.18,23838.6,23833.1,23839.9,94.24,94.22"
"20230223 18:24:51,1643.16,1643.42,1643.36,23823.0,23819.2,23825.5,94.17,94.15"
"20230223 18:25:51,1643.06,1643.23,1643.21,23817.9,23813.9,23819.1,94.2,94.19"
"20230223 18:29:07,1643.29,1643.38,1643.43,23820.9,23816.4,23821.8,94.24,94.2"
"20230223 18:30:07,1644.86,1645.13,1645.1,23841.9,23836.8,23839.9,94.29,94.28"
