"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT"
"20230224 09:06:32,1653.8,1653.25,1653.72,23909.8,23903.0,23908.1,94.26,94.24"
"20230224 09:07:33,1653.03,1652.54,1653.03,23900.0,23891.5,23898.6,94.23,94.2"
"20230224 09:08:34,1653.58,1653.05,1653.49,23911.1,23900.9,23907.9,94.25,94.24"
"20230224 09:09:34,1653.54,1653.06,1653.48,23911.3,23905.2,23908.8,94.25,94.22"
"20230224 09:10:35,1652.82,1652.45,1653.01,23901.8,23893.6,23898.4,94.24,94.21"
"20230224 09:11:35,1652.78,1652.29,1652.81,23898.6,23895.7,23899.3,94.26,94.22"
"20230224 09:12:35,1655.35,1654.88,1655.24,23930.2,23921.9,23929.9,94.37,94.37"
"20230224 09:13:36,1654.86,1654.16,1654.54,23918.5,23909.5,23917.4,94.28,94.26"
"20230224 09:14:37,1653.99,1653.52,1654.02,23907.9,23902.9,23909.5,94.24,94.22"
"20230224 09:15:37,1653.97,1653.4,1654.05,23908.6,23902.2,23909.2,94.23,94.23"
"20230224 09:16:38,1653.85,1653.28,1653.82,23907.7,23903.6,23909.2,94.23,94.2"
"20230224 09:17:39,1653.34,1652.7,1653.3,23898.1,23891.4,23899.0,94.19,94.19"
"20230224 09:18:40,1653.44,1652.89,1653.42,23900.0,23894.6,23901.8,94.2,94.19"
"20230224 09:19:40,1652.57,1652.28,1652.73,23897.0,23888.8,23898.6,94.18,94.17"
"20230224 09:20:40,1652.42,1652.0,1652.35,23893.7,23888.0,23893.8,94.18,94.15"
"20230224 09:21:41,1652.31,1651.92,1652.4,23892.7,23884.8,23893.8,94.14,94.12"
"20230224 09:22:41,1652.38,1651.81,1652.35,23892.7,23884.2,23895.9,94.13,94.12"
"20230224 09:23:41,1651.71,1651.12,1651.67,23885.1,23880.0,23890.3,94.08,94.07"
"20230224 09:24:41,1652.02,1651.52,1651.87,23886.4,23881.4,23885.6,94.12,94.11"
"20230224 09:25:42,1652.01,1651.57,1651.93,23890.1,23885.8,23892.3,94.12,94.12"
"20230224 09:26:42,1651.97,1651.36,1651.83,23887.2,23885.8,23890.8,94.11,94.1"
"20230224 09:27:42,1652.53,1651.97,1652.29,23895.3,23891.1,23897.4,94.11,94.1"
"20230224 09:28:42,1653.27,1652.69,1653.1,23902.0,23900.4,23904.8,94.12,94.12"
"20230224 09:29:42,1652.68,1652.14,1652.52,23898.6,23892.9,23899.6,94.09,94.09"
"20230224 09:30:42,1652.9,1652.03,1652.69,23900.3,23896.7,23901.1,94.13,94.12"
"20230224 09:31:43,1651.23,1651.0,1651.06,23889.5,23880.1,23887.5,94.06,94.06"
"20230224 09:32:43,1650.35,1649.98,1650.55,23875.3,23872.5,23878.1,94.04,94.03"
"20230224 09:33:43,1649.4,1648.89,1649.32,23863.4,23858.1,23866.0,94.0,93.99"
"20230224 09:34:43,1649.26,1648.95,1649.34,23835.4,23828.6,23835.3,93.96,93.97"
"20230224 09:35:44,1647.36,1647.06,1647.41,23818.1,23814.1,23821.4,93.9,93.9"
"20230224 09:36:44,1647.24,1647.01,1647.36,23831.3,23829.7,23832.7,93.88,93.88"
"20230224 09:37:44,1647.07,1646.97,1647.22,23828.5,23822.6,23825.5,93.88,93.87"
"20230224 09:38:44,1648.17,1647.82,1648.0,23844.4,23839.4,23843.2,93.91,93.9"
"20230224 09:39:45,1648.5,1648.34,1648.33,23849.0,23845.0,23848.6,93.89,93.89"
"20230224 09:40:45,1648.86,1648.75,1648.89,23853.1,23849.1,23850.1,93.89,93.89"
"20230224 09:41:45,1648.44,1648.36,1648.55,23846.0,23844.6,23846.0,93.89,93.88"
"20230224 09:42:46,1648.94,1648.66,1648.65,23844.3,23840.2,23842.6,93.85,93.85"
"20230224 09:43:46,1647.89,1647.81,1648.08,23835.1,23830.0,23833.4,93.85,93.82"
"20230224 09:44:46,1648.41,1648.15,1648.23,23841.6,23839.0,23838.7,93.89,93.88"
"20230224 09:45:46,1649.32,1648.99,1649.14,23849.9,23849.9,23853.8,93.93,93.93"
"20230224 09:46:46,1649.32,1649.15,1649.14,23851.7,23850.6,23852.5,93.96,93.96"
"20230224 09:47:46,1648.83,1648.63,1648.75,23846.3,23844.5,23846.8,93.95,93.94"
"20230224 09:48:47,1649.28,1649.0,1649.11,23849.9,23850.0,23852.5,93.97,93.96"
"20230224 09:49:47,1648.84,1648.5,1648.69,23846.5,23841.4,23845.0,93.96,93.95"
"20230224 09:50:47,1648.47,1648.3,1648.43,23846.0,23841.9,23844.3,93.99,93.97"
"20230224 09:51:48,1649.31,1649.09,1649.21,23854.5,23851.7,23856.3,93.96,93.94"
"20230224 09:52:48,1649.69,1649.5,1649.65,23863.9,23858.4,23859.7,93.96,93.94"
"20230224 09:53:48,1650.17,1649.73,1650.02,23864.9,23865.0,23867.9,94.02,94.0"
"20230224 09:54:49,1651.31,1650.93,1651.16,23883.7,23880.7,23881.0,94.07,94.05"
"20230224 09:55:49,1650.35,1650.2,1650.28,23870.0,23864.6,23868.4,94.04,94.02"
"20230224 09:56:49,1649.64,1649.17,1649.71,23857.7,23855.4,23859.2,94.0,93.98"
"20230224 09:57:49,1648.32,1648.19,1648.6,23842.0,23838.7,23843.1,93.96,93.91"
"20230224 09:58:50,1647.69,1647.39,1647.86,23831.0,23827.3,23833.2,93.87,93.84"
"20230224 09:59:50,1648.0,1647.73,1647.97,23839.0,23833.7,23837.3,93.92,93.9"
"20230224 10:00:50,1648.02,1647.54,1647.96,23837.0,23832.9,23836.1,93.93,93.91"
"20230224 10:01:51,1647.88,1647.82,1648.05,23840.6,23832.9,23839.3,93.98,93.95"
"20230224 10:02:51,1647.12,1647.15,1647.38,23828.0,23821.8,23832.9,93.91,93.87"
"20230224 10:03:51,1647.76,1647.65,1647.75,23835.2,23828.1,23837.9,93.9,93.88"
"20230224 10:04:51,1647.89,1647.95,1647.85,23836.7,23831.2,23838.0,93.92,93.91"
"20230224 10:05:52,1648.42,1648.31,1648.5,23847.1,23839.6,23848.2,93.98,93.96"
"20230224 10:06:52,1648.39,1648.31,1648.51,23841.4,23834.4,23843.8,94.03,94.01"
"20230224 10:07:52,1648.78,1648.59,1648.69,23848.2,23839.9,23851.5,94.07,94.05"
"20230224 10:08:53,1650.19,1649.98,1649.97,23863.7,23853.5,23866.7,94.11,94.09"
"20230224 10:09:53,1649.17,1648.99,1649.14,23859.4,23850.7,23861.9,93.97,93.94"
"20230224 10:10:54,1647.38,1647.16,1647.59,23830.2,23822.4,23832.9,93.89,93.87"
"20230224 10:11:54,1646.58,1646.53,1646.7,23820.0,23810.6,23826.6,93.84,93.82"
"20230224 10:12:54,1646.88,1646.87,1647.05,23822.9,23816.4,23826.6,93.83,93.8"
"20230224 10:13:55,1646.6,1646.39,1646.66,23825.8,23818.9,23828.7,93.84,93.76"
"20230224 10:14:55,1646.71,1646.39,1646.7,23824.5,23818.7,23831.3,93.74,93.7"
"20230224 10:15:55,1647.2,1646.99,1647.06,23835.4,23825.9,23835.1,93.78,93.75"
"20230224 10:16:56,1647.28,1647.24,1647.21,23843.8,23835.1,23843.2,93.79,93.74"
"20230224 10:17:56,1645.83,1645.54,1646.12,23817.0,23808.6,23820.0,93.6,93.57"
"20230224 10:18:56,1645.44,1645.46,1645.87,23818.6,23808.5,23819.0,93.6,93.56"
"20230224 10:19:56,1644.3,1644.24,1644.51,23804.1,23793.0,23807.2,93.52,93.5"
"20230224 10:20:57,1644.46,1644.55,1644.51,23799.0,23789.9,23801.3,93.57,93.52"
"20230224 10:21:57,1645.39,1645.42,1645.3,23814.7,23807.1,23814.8,93.55,93.52"
"20230224 10:22:57,1644.6,1644.65,1644.47,23797.3,23789.4,23800.5,93.39,93.35"
"20230224 10:23:57,1644.15,1644.19,1644.04,23807.4,23795.9,23805.6,93.23,93.18"
"20230224 10:24:58,1643.85,1643.9,1643.9,23806.7,23798.4,23806.3,93.26,93.22"
"20230224 10:25:58,1645.59,1645.6,1645.61,23831.0,23823.7,23834.2,93.53,93.49"
"20230224 10:26:58,1647.03,1646.97,1647.0,23843.9,23832.9,23842.9,93.61,93.58"
"20230224 10:27:58,1646.3,1646.6,1646.88,23838.9,23830.4,23844.8,93.61,93.57"
"20230224 10:28:59,1647.73,1647.79,1647.76,23857.3,23847.9,23854.8,93.68,93.64"
"20230224 10:29:59,1647.51,1647.53,1647.6,23854.9,23844.6,23855.3,93.7,93.66"
"20230224 10:30:59,1646.97,1646.88,1646.99,23852.0,23839.1,23850.3,93.61,93.59"
"20230224 10:31:59,1647.82,1647.67,1647.84,23859.9,23847.9,23858.8,93.63,93.61"
"20230224 10:33:00,1647.6,1647.64,1647.77,23858.6,23846.6,23857.7,93.69,93.66"
"20230224 10:34:00,1647.6,1647.74,1647.77,23848.6,23841.1,23851.8,93.69,93.66"
"20230224 10:35:00,1648.16,1648.33,1648.33,23863.2,23852.8,23860.7,93.75,93.72"
"20230224 10:36:01,1647.96,1648.0,1648.13,23863.6,23853.7,23860.7,93.78,93.74"
"20230224 10:37:01,1647.32,1647.23,1647.47,23857.5,23849.4,23857.5,93.72,93.69"
"20230224 10:38:01,1648.1,1648.11,1648.19,23866.9,23857.4,23860.7,93.81,93.79"
"20230224 10:39:01,1647.5,1647.56,1647.74,23859.3,23849.3,23860.3,93.8,93.77"
"20230224 10:40:02,1647.6,1647.5,1647.75,23857.5,23849.9,23857.7,93.81,93.78"
"20230224 10:41:02,1646.78,1646.84,1647.03,23853.5,23844.0,23853.1,93.82,93.77"
"20230224 10:42:03,1648.08,1648.17,1648.22,23866.3,23857.4,23860.7,93.87,93.83"
"20230224 10:43:03,1647.43,1647.5,1647.7,23861.8,23851.9,23860.7,93.88,93.84"
"20230224 10:44:03,1647.43,1647.46,1647.42,23854.5,23845.0,23854.0,93.86,93.82"
"20230224 10:45:04,1647.51,1647.6,1647.68,23860.6,23850.8,23860.5,93.8,93.76"
"20230224 10:46:06,1648.41,1648.35,1648.37,23870.9,23863.3,23865.2,93.85,93.81"
"20230224 10:47:06,1648.3,1648.19,1648.25,23870.9,23860.9,23865.2,93.88,93.85"
"20230224 10:48:07,1649.7,1649.59,1649.79,23882.9,23877.4,23879.9,94.0,93.97"
"20230224 10:49:07,1650.02,1649.82,1650.01,23879.2,23871.9,23879.7,94.04,94.0"
"20230224 10:50:07,1650.54,1650.35,1650.54,23884.9,23879.8,23881.8,94.05,94.01"
"20230224 10:51:07,1650.41,1650.18,1650.29,23890.2,23881.2,23887.9,94.06,94.02"
"20230224 10:52:08,1649.51,1649.31,1649.42,23881.6,23873.5,23880.0,94.0,93.94"
"20230224 10:53:08,1649.26,1649.0,1649.25,23875.3,23867.0,23876.1,94.0,93.92"
"20230224 10:54:09,1649.57,1649.31,1649.74,23880.7,23874.3,23880.5,94.05,94.0"
"20230224 10:55:09,1650.04,1649.59,1649.88,23881.5,23874.2,23882.2,94.03,94.0"
"20230224 10:56:10,1649.48,1649.15,1649.58,23876.6,23871.3,23875.4,93.99,93.96"
"20230224 10:57:10,1648.92,1648.81,1649.09,23868.9,23863.3,23871.8,93.97,93.94"
"20230224 10:58:10,1648.0,1647.8,1648.15,23857.7,23851.6,23856.9,93.88,93.85"
"20230224 10:59:11,1649.09,1648.95,1649.17,23869.0,23860.6,23867.1,93.95,93.93"
"20230224 11:00:11,1649.33,1649.2,1649.37,23870.5,23861.3,23869.6,93.98,93.94"
"20230224 11:01:11,1649.33,1648.66,1648.92,23864.1,23858.0,23861.8,93.91,93.87"
"20230224 11:02:12,1649.15,1648.8,1649.08,23868.4,23858.6,23865.7,93.91,93.89"
"20230224 11:03:12,1648.48,1648.18,1648.56,23860.8,23853.3,23859.2,93.86,93.83"
"20230224 11:04:12,1648.79,1648.67,1648.57,23862.8,23856.1,23861.9,93.92,93.9"
"20230224 11:05:12,1648.68,1648.46,1648.81,23865.2,23858.3,23865.9,93.9,93.88"
"20230224 11:06:13,1648.66,1648.78,1648.81,23865.2,23857.9,23864.5,93.96,93.92"
"20230224 11:07:13,1649.23,1648.99,1649.27,23868.4,23864.3,23870.0,94.0,93.97"
"20230224 11:08:13,1649.1,1649.01,1649.32,23871.7,23866.6,23873.1,94.0,93.97"
"20230224 11:09:13,1649.34,1649.39,1649.52,23875.1,23871.8,23877.3,93.98,93.96"
"20230224 11:10:14,1649.5,1649.38,1649.63,23877.7,23872.9,23877.8,94.01,93.99"
"20230224 11:11:14,1649.5,1649.47,1649.67,23882.4,23879.0,23881.0,94.03,94.0"
"20230224 11:12:14,1650.18,1649.98,1650.43,23891.9,23890.3,23892.7,94.1,94.08"
"20230224 11:13:14,1651.33,1651.02,1651.21,23900.0,23896.4,23898.1,94.09,94.07"
"20230224 11:14:14,1650.54,1650.39,1650.68,23893.0,23888.4,23896.2,94.04,94.0"
"20230224 11:15:15,1648.88,1648.76,1649.14,23876.8,23872.6,23877.8,93.96,93.92"
"20230224 11:16:15,1649.38,1649.27,1649.54,23889.4,23885.7,23895.5,93.97,93.94"
"20230224 11:17:15,1648.37,1648.0,1648.48,23878.0,23871.4,23876.8,93.92,93.88"
"20230224 11:18:15,1645.4,1645.27,1645.47,23850.4,23843.4,23859.8,93.8,93.76"
"20230224 11:19:16,1645.63,1645.42,1645.79,23852.4,23845.6,23859.8,93.82,93.79"
"20230224 11:20:16,1645.0,1645.0,1645.08,23844.6,23836.9,23852.0,93.76,93.71"
"20230224 11:21:16,1645.47,1645.47,1645.41,23848.4,23842.0,23852.0,93.78,93.75"
"20230224 11:22:17,1645.68,1645.69,1646.15,23851.1,23846.6,23854.3,93.79,93.76"
"20230224 11:23:17,1646.72,1646.49,1646.75,23866.0,23860.1,23869.2,93.8,93.78"
"20230224 11:24:17,1648.55,1648.38,1648.47,23884.3,23878.2,23883.5,93.94,93.92"
"20230224 11:25:17,1648.65,1648.5,1648.81,23887.4,23880.9,23891.4,93.94,93.92"
"20230224 11:26:18,1648.88,1648.87,1649.15,23896.4,23890.2,23893.3,93.94,93.91"
"20230224 11:27:18,1648.76,1648.81,1648.92,23890.0,23885.5,23890.7,93.93,93.89"
"20230224 11:28:18,1648.57,1648.56,1648.78,23891.1,23887.4,23893.0,93.96,93.94"
"20230224 11:29:19,1647.61,1647.5,1647.83,23877.2,23869.2,23873.1,93.79,93.78"
"20230224 11:30:20,1646.52,1646.59,1646.66,23866.0,23858.9,23865.0,93.79,93.77"
"20230224 11:31:21,1647.05,1647.21,1647.17,23874.0,23868.9,23876.3,93.82,93.8"
"20230224 11:32:21,1647.87,1647.89,1648.06,23881.4,23877.3,23884.6,93.9,93.88"
"20230224 11:33:21,1646.99,1647.17,1647.17,23878.1,23872.9,23880.5,93.83,93.8"
"20230224 11:34:22,1646.61,1646.6,1646.92,23877.5,23872.2,23878.4,93.78,93.76"
"20230224 11:35:22,1645.91,1646.1,1646.3,23861.3,23856.3,23860.7,93.76,93.74"
"20230224 11:36:23,1645.97,1646.02,1646.31,23863.5,23858.2,23864.0,93.76,93.76"
"20230224 11:37:23,1646.38,1646.21,1646.68,23866.3,23859.5,23864.2,93.76,93.74"
"20230224 11:38:23,1645.98,1646.05,1646.23,23862.8,23858.4,23864.0,93.76,93.75"
"20230224 11:39:24,1646.96,1647.06,1647.2,23877.0,23865.0,23873.7,93.85,93.85"
"20230224 11:40:24,1646.73,1646.84,1647.03,23864.8,23860.1,23867.3,93.81,93.79"
"20230224 11:41:24,1646.56,1646.52,1646.75,23862.1,23857.0,23862.8,93.76,93.74"
"20230224 11:42:24,1646.75,1646.81,1646.86,23868.3,23860.1,23866.6,93.76,93.74"
"20230224 11:43:25,1647.58,1647.61,1647.75,23875.2,23869.8,23878.3,93.83,93.82"
"20230224 11:44:25,1647.35,1647.31,1647.36,23875.2,23869.8,23876.2,93.82,93.8"
"20230224 11:45:25,1647.04,1647.04,1647.21,23875.7,23872.4,23875.0,93.81,93.78"
"20230224 11:46:26,1648.36,1648.39,1648.53,23890.9,23885.5,23894.1,93.9,93.9"
"20230224 11:47:26,1648.4,1648.35,1648.34,23892.8,23885.3,23894.4,93.89,93.88"
"20230224 11:48:26,1648.04,1647.82,1648.38,23892.8,23887.4,23895.5,93.9,93.89"
"20230224 11:49:27,1647.96,1648.0,1647.97,23895.0,23884.5,23893.1,93.87,93.86"
"20230224 11:50:27,1647.32,1647.4,1647.49,23890.8,23882.4,23890.3,93.84,93.85"
"20230224 11:51:27,1647.62,1647.66,1647.8,23889.8,23884.0,23892.8,93.89,93.89"
"20230224 11:52:27,1648.36,1648.29,1648.38,23891.8,23888.8,23895.0,93.89,93.89"
"20230224 11:53:28,1648.08,1648.04,1648.2,23891.8,23885.3,23892.8,93.9,93.88"
"20230224 11:54:28,1648.32,1648.23,1648.18,23891.8,23885.5,23892.6,93.87,93.87"
"20230224 11:55:28,1647.72,1647.72,1647.89,23886.8,23880.3,23889.5,93.88,93.88"
"20230224 11:56:28,1647.06,1647.2,1647.1,23884.2,23876.1,23883.9,93.8,93.8"
"20230224 11:57:29,1646.83,1646.73,1647.0,23882.9,23875.5,23882.1,93.79,93.79"
"20230224 11:58:29,1647.49,1647.35,1647.44,23887.4,23884.9,23890.2,93.79,93.79"
"20230224 11:59:30,1647.51,1647.55,1647.54,23892.6,23887.0,23893.9,93.85,93.84"
"20230224 12:00:30,1647.49,1647.4,1647.51,23893.3,23889.7,23895.5,93.85,93.84"
"20230224 12:01:30,1647.88,1647.76,1647.75,23903.5,23895.0,23898.5,93.91,93.9"
"20230224 12:02:30,1647.19,1647.01,1647.14,23889.7,23882.3,23889.9,93.78,93.78"
"20230224 12:03:31,1646.9,1646.99,1647.09,23894.6,23885.8,23891.8,93.77,93.75"
"20230224 12:04:31,1646.52,1646.54,1646.65,23885.6,23876.1,23883.7,93.69,93.71"
"20230224 12:05:31,1647.81,1647.81,1647.9,23900.0,23892.6,23898.5,93.84,93.86"
"20230224 12:06:32,1647.82,1647.68,1647.8,23903.3,23892.6,23902.9,93.9,93.9"
"20230224 12:07:32,1648.65,1648.37,1648.55,23915.8,23909.4,23911.8,93.91,93.94"
"20230224 12:08:32,1648.43,1648.38,1648.37,23921.7,23914.9,23914.9,93.93,93.93"
"20230224 12:09:32,1648.98,1648.75,1648.9,23923.3,23921.0,23922.4,93.96,93.95"
"20230224 12:10:33,1649.31,1649.16,1649.24,23935.5,23927.8,23932.8,93.96,93.96"
"20230224 12:11:33,1649.8,1649.56,1649.63,23934.3,23928.3,23935.2,93.98,93.98"
"20230224 12:12:33,1649.62,1649.2,1649.5,23920.0,23914.4,23927.8,93.98,93.96"
"20230224 12:13:34,1650.41,1650.17,1650.46,23939.6,23934.9,23942.3,94.04,94.03"
"20230224 12:14:34,1652.74,1652.33,1652.72,23950.4,23941.8,23951.6,94.08,94.07"
"20230224 12:15:34,1652.41,1652.1,1652.47,23959.9,23952.6,23962.0,94.13,94.12"
"20230224 12:16:35,1653.77,1653.44,1653.77,24003.7,23999.5,24006.9,94.17,94.15"
"20230224 12:17:35,1653.16,1652.93,1653.24,23997.7,23993.7,24001.7,94.15,94.13"
"20230224 12:18:35,1653.54,1653.14,1653.41,24005.2,23999.9,24005.4,94.19,94.17"
"20230224 12:19:35,1652.76,1652.54,1652.76,23990.3,23985.0,23991.3,94.14,94.12"
"20230224 12:20:36,1651.53,1651.17,1651.75,23958.6,23950.4,23962.6,94.1,94.07"
"20230224 12:22:46,1647.4,1647.08,1647.53,23906.7,23901.0,23908.8,93.98,93.94"
"20230224 12:23:48,1646.85,1646.73,1646.89,23899.0,23892.9,23900.8,93.92,93.88"
"20230224 12:24:49,1647.74,1647.35,1647.42,23900.0,23893.0,23902.1,93.96,93.93"
"20230224 12:25:50,1647.38,1647.25,1647.34,23906.1,23900.8,23909.5,93.98,93.95"
"20230224 12:26:50,1648.6,1648.68,1648.57,23924.7,23919.1,23926.8,94.06,94.04"
"20230224 12:27:50,1647.73,1647.69,1647.9,23904.0,23899.0,23908.3,94.03,94.0"
"20230224 12:28:52,1647.47,1647.42,1647.61,23902.7,23899.8,23906.6,93.99,93.95"
"20230224 12:29:52,1647.64,1647.54,1647.81,23907.2,23899.9,23908.7,94.03,94.0"
"20230224 12:30:53,1646.9,1646.74,1647.07,23892.9,23886.6,23898.7,93.92,93.9"
"20230224 12:31:53,1647.48,1647.45,1647.55,23904.4,23900.4,23908.7,93.9,93.87"
"20230224 12:32:53,1647.01,1647.01,1647.33,23900.0,23897.5,23906.4,93.89,93.86"
"20230224 12:33:54,1647.67,1647.63,1647.87,23912.8,23906.9,23915.2,93.91,93.89"
"20230224 12:34:54,1648.57,1648.42,1648.66,23930.1,23927.0,23933.3,93.96,93.94"
"20230224 12:35:55,1648.86,1648.74,1648.91,23931.1,23927.9,23936.5,94.0,93.99"
"20230224 12:36:55,1649.12,1649.01,1649.06,23938.4,23934.5,23942.1,94.04,94.04"
"20230224 12:37:55,1647.36,1647.31,1647.53,23912.3,23908.0,23912.7,93.91,93.9"
"20230224 12:38:56,1648.28,1648.2,1648.41,23919.9,23917.9,23927.9,93.99,93.98"
"20230224 12:39:56,1647.72,1647.6,1647.81,23905.4,23901.3,23908.3,93.96,93.96"
"20230224 12:40:56,1647.76,1647.56,1647.91,23904.2,23900.4,23908.5,93.97,93.94"
"20230224 12:41:57,1648.24,1648.16,1648.52,23917.7,23913.4,23920.7,93.98,93.98"
"20230224 12:42:57,1648.02,1647.9,1648.21,23909.1,23907.1,23914.7,93.97,93.95"
"20230224 12:43:57,1648.33,1648.36,1648.67,23913.4,23907.9,23914.8,93.97,93.96"
"20230224 12:44:57,1648.02,1647.94,1648.24,23903.4,23900.0,23908.4,93.96,93.93"
"20230224 12:45:58,1647.57,1647.19,1647.61,23884.1,23879.0,23888.4,93.91,93.89"
"20230224 12:46:58,1646.64,1646.42,1646.82,23879.0,23873.0,23878.7,93.83,93.81"
"20230224 12:47:59,1646.75,1646.5,1646.82,23876.6,23871.1,23879.5,93.78,93.77"
"20230224 12:48:59,1646.36,1646.21,1646.74,23873.9,23870.9,23877.1,93.75,93.73"
"20230224 12:49:59,1645.57,1645.63,1645.81,23875.9,23869.4,23875.2,93.74,93.72"
"20230224 12:50:59,1646.4,1646.2,1646.43,23884.3,23881.9,23887.5,93.76,93.74"
"20230224 12:52:00,1644.79,1644.6,1645.0,23873.3,23868.0,23874.0,93.65,93.65"
"20230224 12:53:00,1645.3,1645.21,1645.47,23874.7,23871.5,23878.1,93.67,93.67"
"20230224 12:54:01,1645.89,1645.82,1645.9,23885.0,23877.5,23883.6,93.75,93.74"
"20230224 12:55:01,1645.97,1645.86,1645.82,23886.9,23878.2,23885.2,93.76,93.75"
"20230224 12:56:01,1646.38,1646.36,1646.39,23892.3,23888.0,23893.2,93.75,93.74"
"20230224 12:57:02,1646.89,1646.68,1646.72,23896.7,23893.7,23899.0,93.78,93.79"
"20230224 12:58:02,1647.27,1647.03,1647.1,23903.6,23900.0,23907.3,93.81,93.8"
"20230224 12:59:02,1646.8,1646.59,1646.92,23904.2,23898.1,23905.0,93.82,93.81"
"20230224 13:00:03,1645.79,1645.62,1645.7,23887.4,23885.0,23890.4,93.74,93.72"
"20230224 13:01:03,1645.56,1645.38,1645.53,23893.7,23891.3,23896.6,93.74,93.74"
"20230224 13:02:04,1644.18,1643.91,1644.13,23878.9,23875.9,23881.5,93.66,93.66"
"20230224 13:03:04,1643.42,1643.55,1643.79,23876.3,23873.0,23878.4,93.64,93.63"
"20230224 13:04:04,1644.01,1644.09,1644.13,23880.4,23879.3,23884.9,93.7,93.69"
"20230224 13:05:05,1642.95,1643.09,1643.46,23873.8,23868.3,23875.6,93.64,93.65"
"20230224 13:06:05,1644.27,1644.46,1644.61,23891.8,23885.7,23894.2,93.71,93.72"
"20230224 13:07:06,1645.07,1644.99,1644.97,23896.7,23892.4,23898.9,93.75,93.76"
"20230224 13:08:06,1643.01,1643.09,1643.35,23874.3,23873.1,23877.4,93.64,93.66"
"20230224 13:09:07,1642.09,1642.15,1642.25,23864.1,23858.8,23869.3,93.6,93.61"
"20230224 13:10:07,1641.44,1641.66,1642.0,23853.0,23846.0,23863.3,93.53,93.52"
"20230224 13:11:07,1640.98,1640.85,1640.78,23848.1,23843.0,23854.9,93.49,93.51"
"20230224 13:12:08,1643.78,1643.69,1643.53,23876.9,23873.9,23881.4,93.68,93.69"
"20230224 13:13:08,1642.59,1642.63,1642.72,23864.2,23857.7,23870.0,93.67,93.66"
"20230224 13:14:08,1641.78,1641.77,1641.89,23854.7,23849.8,23856.1,93.61,93.61"
"20230224 13:15:09,1642.48,1642.55,1642.64,23862.1,23859.6,23864.9,93.63,93.64"
"20230224 13:16:09,1643.6,1643.68,1643.53,23878.4,23873.1,23881.4,93.73,93.74"
"20230224 13:17:09,1643.3,1643.39,1643.54,23870.1,23864.8,23871.4,93.7,93.7"
"20230224 13:18:09,1643.59,1643.73,1643.71,23874.7,23870.2,23877.9,93.73,93.73"
"20230224 13:19:10,1645.04,1645.31,1645.36,23884.9,23883.5,23888.1,93.78,93.77"
"20230224 13:20:10,1645.65,1645.65,1645.46,23882.8,23879.6,23886.6,93.79,93.76"
"20230224 13:21:10,1644.85,1645.0,1644.84,23888.6,23888.1,23892.7,93.77,93.76"
"20230224 13:22:11,1643.05,1643.24,1643.19,23872.6,23867.1,23874.3,93.7,93.68"
"20230224 13:23:11,1643.59,1643.69,1643.51,23882.3,23877.9,23883.7,93.76,93.72"
"20230224 13:24:11,1643.49,1643.53,1643.51,23879.4,23875.1,23883.0,93.75,93.71"
"20230224 13:25:12,1642.32,1642.49,1642.4,23868.9,23866.0,23874.4,93.66,93.66"
"20230224 13:26:12,1644.07,1643.99,1643.87,23891.2,23886.5,23895.5,93.85,93.81"
"20230224 13:27:12,1647.46,1648.02,1647.11,23971.5,23968.3,23976.7,93.94,93.94"
"20230224 13:28:13,1644.39,1644.31,1644.36,23925.0,23916.5,23928.5,93.79,93.78"
"20230224 13:29:13,1644.07,1644.27,1644.15,23927.0,23927.1,23934.8,93.87,93.81"
"20230224 13:30:14,1638.84,1639.05,1639.86,23874.6,23873.5,23873.2,93.68,93.62"
"20230224 13:31:14,1638.49,1638.83,1638.87,23856.6,23862.8,23860.7,93.57,93.57"
"20230224 13:32:14,1635.95,1635.79,1635.73,23802.4,23799.0,23806.8,93.4,93.4"
"20230224 13:33:14,1638.67,1638.99,1638.76,23842.8,23841.7,23833.2,93.51,93.52"
"20230224 13:34:15,1638.05,1638.19,1638.01,23820.5,23819.9,23819.1,93.53,93.5"
"20230224 13:35:15,1633.21,1633.65,1633.26,23779.5,23777.1,23779.2,93.34,93.29"
"20230224 13:36:15,1634.28,1634.06,1634.62,23769.2,23758.5,23768.8,93.31,93.26"
"20230224 13:37:16,1634.46,1634.95,1634.9,23765.2,23772.0,23776.7,93.24,93.22"
"20230224 13:38:16,1634.79,1635.07,1635.11,23768.6,23765.1,23767.9,93.16,93.14"
"20230224 13:39:16,1633.73,1634.0,1633.34,23685.7,23683.7,23686.4,92.96,92.92"
"20230224 13:40:17,1634.85,1635.42,1634.92,23724.5,23726.0,23723.3,92.99,93.0"
"20230224 13:41:17,1636.27,1636.49,1636.2,23740.5,23739.9,23740.4,93.12,93.06"
"20230224 13:42:18,1638.55,1638.83,1638.24,23769.9,23776.3,23768.2,93.23,93.2"
"20230224 13:43:18,1636.22,1636.38,1635.98,23751.8,23754.2,23756.0,93.19,93.18"
"20230224 13:44:19,1636.3,1636.32,1636.34,23778.4,23774.9,23775.9,93.24,93.22"
"20230224 13:45:19,1637.13,1636.95,1636.84,23786.3,23782.2,23784.4,93.25,93.24"
"20230224 13:46:19,1637.73,1637.84,1637.76,23796.3,23793.7,23797.9,93.32,93.31"
